run_name,run_dir,dataset,patch,crit_mode,form,max_invest,alpha_obj,lam,n_scenarios,mean_shed,median_shed,p90_shed,p95_shed,p99_shed,max_shed,VaR_0.95,CVaR_0.95,inv_cost,expected_shed,cvar,n_gen_inv,n_load_inv,n_trans_inv,timestamp
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,files,patch,all,cvar_mean,10,0.95,1.0,750,3846.156655020623,3853.74,4660.906999999988,4835.809299999976,5084.950519999963,5332.69099999999,4835.809299999976,4988.605399263259,8.8,3846.156655020624,4992.304410054159,2,1,0,2026-03-03T21:02:22
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,files,patch,all,cvar_mean,15,0.95,1.0,750,3853.184377546908,3851.190292192818,4560.289999999976,4722.996999999954,4950.0760475509505,5332.69099999999,4722.996999999954,4858.874060555894,14.8,3853.184377546904,4862.546413543892,1,2,0,2026-03-03T21:16:19
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_mean__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,files,patch,all,cvar_mean,20,0.95,1.0,750,3779.319734204715,3781.543993006979,4475.950250638637,4689.520581301891,4912.679999999984,5332.69099999999,4689.520581301891,4815.327323713788,18.8,3779.319734204714,4818.613656787135,5,2,0,2026-03-03T21:34:58
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,files,patch,all,cvar_only,10,0.95,1.0,750,4853.148092467462,4851.7419999998,4851.741999999978,4851.742000000056,5084.950519999963,5332.69099999999,4851.742000000056,4988.605399263277,8.8,4853.148092467419,4992.304410054174,2,1,0,2026-03-03T20:58:24
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,files,patch,all,cvar_only,15,0.95,1.0,750,4727.401118791229,4722.996999999758,4722.996999999944,4722.99699999999,4950.076047550945,5332.690999999991,4722.99699999999,4845.933388122001,14.8,4727.401118791295,4862.546413543895,1,2,0,2026-03-03T21:11:46
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-cvar_only__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,files,patch,all,cvar_only,20,0.95,1.0,750,4686.870254719475,4693.732999999976,4693.7329999999865,4693.733000000165,4912.679999999993,5332.690999999991,4693.733000000165,4815.327323713796,17.8,4686.870254719494,4818.613656787138,4,2,0,2026-03-03T21:28:43
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-10,files,patch,all,risk_neutral,10,0.95,1.0,750,3846.1566550205907,3853.739999999955,4660.906999999985,4835.809299999985,5084.950519999986,5332.690999999991,4835.809299999985,4988.605399263228,8.8,3846.1566550205903,4992.304410054127,2,1,0,2026-03-03T20:53:56
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-15,files,patch,all,risk_neutral,15,0.95,1.0,750,3771.047332076515,3791.739999999955,4609.07268490357,4903.3939999999575,5064.480034999988,5332.690999999991,4903.3939999999575,5002.584994766388,14.8,3771.047332076508,5005.265832462779,1,2,0,2026-03-03T21:06:31
files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,C:\Users\vdiazpa\Documents\quest_planning\results_fresh\files__patch-patch__nev-25__ntr-30__seed-63__crit-all__form-risk_neutral__alpha-0.95__lam-1.0__gap-0.01__maxinv-20,files,patch,all,risk_neutral,20,0.95,1.0,750,3697.7307341374085,3716.013999999989,4561.90899999996,4784.034999999977,4968.613414999993,5332.690999999991,4784.034999999977,4944.560652661127,16.8,3697.730734137407,4948.899183814129,3,2,0,2026-03-03T21:20:45
